text,prediction
RT @HuseyinDemir04: Adana Emniyeti iki Furkan Gönüllüsünü feci şekilde darp etmiş,[[0.46964119 0.53035881]]
RT @meftunbirkadin: Sokağa koyduğum su kaplarının içindeki su bitince çöpe atmak yerine yine su doldursanız gebermezsiniz ya çok pis sövüyo…,[[0.46964119 0.53035881]]
"\"En büyük iletişim problemimiz: Anlamak için dinlemiyoruz, cevap vermek için dinliyoruz.\"  - La Edri",[[0.42846875 0.57153125]]
@orhancangorgun 🤍,[[0.46964119 0.53035881]]
Tatile ihtiyacım var nokta,[[0.46964119 0.53035881]]
RT @Mr_Golge61: sabahları uyandıktan sonra bir filozof gibi yatakta hayatı sorguluyorum daha sonra arabesk bir rapçi gibi kaderime isyan ed…,[[0.39423987 0.60576013]]
RT @semrakuytul: Emniyetin İşkence skandalını yaydık diye rövanşını almak istiyorlar demek ki İHA'yı kullanıp kumpas kurdular.. İşkence ska…,[[0.46964119 0.53035881]]
Ve başımızın içi cenaze,[[0.46964119 0.53035881]]
@Ozgekocahan Hemen hemen jddjjd,[[0.46964119 0.53035881]]
RT @HalilKkz: 4 gündür  zaten suçsuz yere tuttunuz Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@MetinDq ince düşüncen duygulandırdı beni,[[0.46964119 0.53035881]]
RT @HseyinKUT1: Devletin bir tane kurumu çıkıp belgelerle @sedat_peker'i yalanlayabilirse AKP'ye oy vereceğim 🤣🤣🤣 hodri meydan  https://t.co…,[[0.40711539 0.59288461]]
RT @ismailsaymaz: İngiltere’de danışmanıyla öpüşen bakan istifa ediyor. Bizde kendi ürettiği dezenfektanı kendi bakanlığına satarak,[[0.45258446 0.54741554]]
RT @emratemizkan: #Kardeşlerimiz Serbest Kalsın Bu hukuksuz uygulama son bulsun.,[[0.38987615 0.61012385]]
saçınızı dalinle yıkamayın kediniz salak olup saçınızı tatlı sandığından yemek için evde sizi kovalayabilir,[[0.46964119 0.53035881]]
@ferdi120434 @ooyeahbaby Bedoda çok garibandı,[[0.46964119 0.53035881]]
@thanksbabenext @angelifca Askım baktım şimdi çok iyi bir doktora benziyor arayıp randevu alacağım çok teşekkür ederim ❤️,[[0.46964119 0.53035881]]
RT @27ErenAslan: Furkan Vakfı gönüllüsü 3 kişinin gözaltında işkenceyle kabul etmesi istenilen,[[0.46964119 0.53035881]]
RT @sefikdiyin: Arkadaşlar İphone 12 max pro alacağım,[[0.58952669 0.41047331]]
@Ozgekocahan Yapabileceğin hiç birşey yok,[[0.46964119 0.53035881]]
ağlamadığım yer ve mekan yok,[[0.46964119 0.53035881]]
kisiliğimi olusturan dizi karakterleri  https://t.co/nDN0xBEQsG,[[0.40711539 0.59288461]]
Maksat kazanmak ama haktan çalarlar.,[[0.46964119 0.53035881]]
@sukru_damar 👏,[[0.46964119 0.53035881]]
@bayaminik @erguvanruhu @rumsplaining HHİİİÇÇ ANLATAMADIIIIMMM HİİİİÇ ANLAMADIIIILAAAAR,[[0.46964119 0.53035881]]
RT @ademerdogmus_: GÜNDEM ÇALIŞMAMIZ BAŞLADI ❗️❗️❗️  Etiketimiz:  MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
@metineskikara @SavciSayan Aynı şeyleri Doğu Türkistan’daki kardeşlerimiz içinde düşünebilsek daha net olurdu.,[[0.46964119 0.53035881]]
Şiirler acılara gebedir,[[0.46964119 0.53035881]]
"RT @furkanhabernet: Adana Adliyesi önünde Furkan Gönüllülerine müdahalede bulununan polisten skandal sözler:  \" Ohh... Jop çek",[[0.46964119 0.53035881]]
RT @alparslankuytul: Allah doğruların yardımcısıdır. Arkamızda Allah olduktan sonra karşımızda kimlerin olduğunun önemi yoktur.  İftiracıİH…,[[0.46964119 0.53035881]]
@Songul4535 İkiside geçer,[[0.46964119 0.53035881]]
@HkKursun Öyle oldu ama yine yaramadı düşüşteyiz,[[0.46964119 0.53035881]]
@anapaliahmet @1UzunAdam Osmanlı’ya en büyük darbeyi Filistin vurdu ama bugün yine yanındayız kandırılmak kaderimiz olmuş.,[[0.46964119 0.53035881]]
ayrıca nolur artık evlenmek için evlenmeyin aq,[[0.46964119 0.53035881]]
@eksuzmii tuba için de kapısının önüne bir kap burs 🕋🤲🏻,[[0.45258446 0.54741554]]
@Ogulcangungordu Tmm,[[0.46964119 0.53035881]]
RT @HakYolc71141535: Röportaj | Medyaya güveniyor musunuz? Adana sokaklarına yerel medyayı sorduk! Sahte habere maruz kaldığınızı düşünüyor…,[[0.46964119 0.53035881]]
bu dolunay yeni ay tutulma retro metro her sikimsonik şey neden benim içimden geçiyo,[[0.46964119 0.53035881]]
https://t.co/uT0ULrFagU,[[0.40711539 0.59288461]]
@silanee47 😊🙏,[[0.46964119 0.53035881]]
Keşke herkes yay burcu kadar güzel ve zeki olsa ksmdjfkd,[[0.46964119 0.53035881]]
RT @AhmedCelikten: Adliye önünde bekleyen Alparslan Kuytul Hocaefendi'ye polisin biber gazlı müdahale anı!  Kardeşlerimiz SerbestKalsın  #A…,[[0.46964119 0.53035881]]
RT @moodegram:  https://t.co/DAwM4DVN9q,[[0.40711539 0.59288461]]
@ethembulbul_ Kardeşim güzel maç olurda Beşiktaş alır averaj var,[[0.46964119 0.53035881]]
@merend7 Sakin  😂,[[0.46964119 0.53035881]]
Nefretim aşkımı aştı bu gece,[[0.46964119 0.53035881]]
@KimNeYazar Çok dumanlı bir ortam,[[0.46964119 0.53035881]]
RT @VEYSIIDUNDAR:  https://t.co/pbWTVVXuea  Otobanda 120 km ile giden arabaların yanında,[[0.40711539 0.59288461]]
@avokadoyesilii1 Ne satarsan getir alınır😊,[[0.46964119 0.53035881]]
Bencede yok ama arada anlık oluyor,[[0.46964119 0.53035881]]
@aleynatilkk Heterojen,[[0.46964119 0.53035881]]
Kesinlikle türkiyede üretilen bütün patatesler kız yurduna gidiyordur,[[0.46964119 0.53035881]]
@SevdaiCimbom1 @ossmaaannn @TransferWeb1 Ayyyyy,[[0.46964119 0.53035881]]
Limonlu cheesecake perileri,[[0.46964119 0.53035881]]
@siktirdeliiii Ahgagshsh,[[0.46964119 0.53035881]]
@lancansy Bu mevsimde olmaz.,[[0.46964119 0.53035881]]
RT @nobasaran: Evlenenin ki kredi alın,[[0.46964119 0.53035881]]
@NoRespecte Buna çok güld bak keyfim yerine geldi,[[0.46964119 0.53035881]]
@hakanakelma Böyle baskı görüyorlarsa amirlerinden bunlar ne yapsın.,[[0.46964119 0.53035881]]
@AlconabaJ Günaydın😊,[[0.46964119 0.53035881]]
İnsan birini sevmek felaketine uğradı mı esir gibi birşey oluyor.,[[0.46964119 0.53035881]]
RT @Hilal01Defne: Kardeşlerimiz SerbestKalsın  https://t.co/KVB7kZESWC,[[0.40711539 0.59288461]]
RT @AhmedCelikten: İŞ ADAMI ORTAYA ÇIKTI,[[0.46964119 0.53035881]]
aynen kanka mohac meydan muharebesine gidiyolardı zaten iyi moral olmuştur,[[0.5053695 0.4946305]]
@Cennetopuz46 Tamam,[[0.46964119 0.53035881]]
@A_umuttt_kryk Konuma bak,[[0.46964119 0.53035881]]
RT @Nizamettinn_27: Kardeşlerimizi almadan buradan ayrılmayacağız.  #AdanaEmniyeti bunu böylece bilsin !  AdanaEmniyetinde İşkence  https://…,[[0.46964119 0.53035881]]
her zaman korumak kollamak isteyen bir ebeveyn olsan kontrol manyağı olursun bir yerden sonra ve çocuk da zaten birey haline gelip kendi ayakları üzerinde duramaz. Rahat bıraksan bi türlü. sikeyim gerçekten ya,[[0.46964119 0.53035881]]
Tam olarak anskm hayat yani,[[0.46964119 0.53035881]]
@veliagbaba Bende fidyemi bunlara verecek Nasrettin hocanın dediği gibi.,[[0.46964119 0.53035881]]
her şeyi insanlık hatası diyip affedebiliyorum ama benim için yalanın telafisi yok maalesef,[[0.46964119 0.53035881]]
kızın biri beni takip eden herkese 3 gün bedava fal bakıcam diyip 1 saatte 500 takipçi toplamış,[[0.46964119 0.53035881]]
RT @wannawave:  https://t.co/I71Gm5JixB,[[0.40711539 0.59288461]]
Etrafa bakıyorumda boşa yaşıyoruz aq,[[0.46964119 0.53035881]]
Dünyada herşey yolunda değil.,[[0.46964119 0.53035881]]
iyiyiz söylentilere bakılırsa,[[0.46964119 0.53035881]]
U  S  A  N  D  I  M,[[0.46964119 0.53035881]]
@egeergenekontr Hb fdghvf,[[0.46964119 0.53035881]]
Şöyle canlı yemek lazım,[[0.46964119 0.53035881]]
RT @AhmedCelikten: Acımasızca müdahalede bulunan polisler bu sefer de Alparslan Kuytul Hocaefendi'yi hedef alarak biber gazı sıktı!  Kardeş…,[[0.45258446 0.54741554]]
spoti ve netflix olmadan yaşarım bu arada ✍🏻✍🏻,[[0.46964119 0.53035881]]
@Slaerdgdu Çokoprensi kızılay veriyor 4 ayda bi yerim zaten diğerini sevmiyorum halleyi seçerdim hasgj,[[0.46964119 0.53035881]]
@ethembulbul_ @GalatasaraySK Kardeşim Beşiktaş'ın maç bırakmaz burdan kendini yormaz mısın,[[0.46964119 0.53035881]]
@pelinuzl Hepsini değil ama tmm,[[0.46964119 0.53035881]]
@Selma_dadak Elinde yelpaze olduktan sonra yaralanmazsın merak etme jahshsb,[[0.46964119 0.53035881]]
RT @TugayTASCI02: HANİ FURKANCILAR KAÇIRMIŞTI? Basına sızdırdıkları montaj video ile Furkan Gönüllüleri kaçırdı algısı vermeye çalışan @iha…,[[0.72401034 0.27598966]]
"RT @izzetdas: Furkan Gönüllüleri tarafından kaçırıldığı iddia edilen Koray S. eşinden açıklama \"Eşim'in kaybolmasıyla alakalı ciddi şüphele…",[[0.46964119 0.53035881]]
RT @t24comtr: 6 kişilik iş ilanı için İŞKUR'a 1919 kişi başvuru yaptı  https://t.co/kAo41dBjyW  https://t.co/C9dRSfW860,[[0.40711539 0.59288461]]
@tariharsivi Adem ahbabından bellidir.,[[0.46964119 0.53035881]]
Kaç ölüye çok yaşa demişliğim var.,[[0.46964119 0.53035881]]
Sonunu boşver başı güzeldi .,[[0.46964119 0.53035881]]
"RT @wannamovie: \"Kafanın içinde bir kışlaya kapattın kendini. Kendi acına asker ettin kendini. Bir terhis olamadın Ruhiye artık",[[0.46964119 0.53035881]]
İnsan ulaşamadığı şeyin delisi olur.. Yani her şey ulaşana kadar elde edene kadardır..bu yüzden çok da şey etmemek lazım.,[[0.46964119 0.53035881]]
RT @arifsevimlii: Balotelli ateş etti!,[[0.46964119 0.53035881]]
Staj yerine gitmemek için söylediğim yalanlar &gt;&gt;&gt;herşey,[[0.46964119 0.53035881]]
Çok olay olur ama sen gülüyorsundurr,[[0.46964119 0.53035881]]
@dilaracann30 ♡,[[0.46964119 0.53035881]]
@goktekivosvoslu @ahmetelmas21 😂 sus kanka gören olur şimdi,[[0.46964119 0.53035881]]
@NoRespecte Mood onlinee,[[0.35986663 0.64013337]]
Eli güzel kız &gt;&gt;,[[0.46964119 0.53035881]]
@yordunjack  https://t.co/Ik7g5AZsGd,[[0.40711539 0.59288461]]
@avokadoyesilii1 Aptallar parayı,[[0.46964119 0.53035881]]
@GalatasaraySK teşekkürler,[[0.46964119 0.53035881]]
@A_umuttt_kryk .,[[0.46964119 0.53035881]]
RT @Nizamettinn_27: - Arkada Tomalar - Önde çevik  - Ellerinde plastik mermi silahı - Bellerinde jop  Suçsuz insanların üzerinde kullanacağ…,[[0.46964119 0.53035881]]
Yedik,[[0.46964119 0.53035881]]
RT @saintlacrime:  https://t.co/WCB6Sj8uFB,[[0.40711539 0.59288461]]
RT @HamzaAtli44: En çok okunanlar arasına girdi bile👍 Destek olan herkese teşekkürler☝️  https://t.co/fFbfe6M5KT,[[0.40711539 0.59288461]]
RT @RecepKardes01: Kardeşlerimiz SerbestKalsın Üçümüzü aldınız susar mıyız?  Sandınız!!! Furkanız haklıyız susmayacağız...,[[0.46964119 0.53035881]]
@ilaydasekeerr Bu arada bu sözünde patentini al artık 😁😁,[[0.43435452 0.56564548]]
@sayinhocacigim @7Umuteroglu Öyle yaptım Gitmedim sipariş verdim  nahdjdags,[[0.46964119 0.53035881]]
Ya bir yol bulun,[[0.46964119 0.53035881]]
RT @1919_dil: Merkel 18 yılda Almanya’yı  yüceltti ve ilk oturduğu dairede yaşıyor…   Birileri de ülkeyi çökertti ve saraylara doyamıyor…,[[0.45258446 0.54741554]]
@Ban3457 @binkitapaIinti Jack London - Martın Eden,[[0.41446115 0.58553885]]
@Ozgekocahan Aynen öyle baby,[[0.42690601 0.57309399]]
RT @furkanvakfi: ÇİRKİN KUMPAS GİRİŞİMİNİ LANETLİYORUZ!  KaranlıkGüçler İşBaşında #TetikçiYandaşMedya  https://t.co/Y9FkS41Pbm,[[0.55824036 0.44175964]]
RT @TugayTASCI02: Boş ver hocam onlar zafer kazandıklarını zannetsinler. Nihayi karar Ahirette açıklanacak. Kim zaferi kim hezimeti yaşayac…,[[0.46964119 0.53035881]]
Servetini sayanlar dilencilerdir.,[[0.46964119 0.53035881]]
@Ozgekocahan Ne demek seneye aynı motivasyonla,[[0.46964119 0.53035881]]
RT @yazar2017_: Peynir gemisi 🤣🤣🤣  https://t.co/EkHHJQ77gf,[[0.40711539 0.59288461]]
@Ozgekocahan Yaa🥳🥳,[[0.46964119 0.53035881]]
Karakteriniz zor anlar yaşatıyor mu size,[[0.46964119 0.53035881]]
RT @furkanhabernet: Adana Emniyetinde İşkenceye Uğrayan 3 Furkan Gönüllüsünün Avukatlarından Açıklama!,[[0.46964119 0.53035881]]
Türkiyede ucuz olan tek şey araba yıkatmak sanırım köpük 1₺ yıkama 1₺ çok iyi ya.,[[0.46964119 0.53035881]]
Tahammül yok ama işte,[[0.46964119 0.53035881]]
RT @OsmanBaykus58: Yargısızİnfaza Son Son verin bu işe,[[0.38987615 0.61012385]]
@dilhamii Bilemicem Aslan burcundan bahsediyoruz,[[0.46964119 0.53035881]]
RT @kuytulhoca: Adana Adliyesi önünde bekleyen Furkan Gönüllülerine polislerin acımasız müdahalesinin ilk anları.  Kardeşlerimiz SerbestKal…,[[0.46964119 0.53035881]]
@dilekzdg  https://t.co/fkU2QbhRHm,[[0.40711539 0.59288461]]
RT @Servet_Avci: Tarihe “savaş kaybetmeden vatan kaybeden ilk millet” olarak geçeceğiz bu gidişle... İtirazı olan ‘ırkçı’ öyle mi!..  https:…,[[0.46964119 0.53035881]]
Sosyal hizmet öğrencisiyim ama hoca otopsi izletiyor nereye düştüm ben ya,[[0.28852765 0.71147235]]
@Deniz0109499451 😂😂,[[0.46964119 0.53035881]]
@ensonhaber Amerikan polisi kötü derler en iyisini ediyorlar açın kelepçeyi zaten durmayacak dizin kurşuna mermi doldur tekrar kurşunla piçin evladını.,[[0.46964119 0.53035881]]
RT @TugayTASCI02: Kardeşlerimiz SerbestKalsın Kolluk kuvvetleri infaz ediyor.,[[0.46964119 0.53035881]]
@EmreUslu @NLpeyniri Hangi pezevenk evinde 1 dolar saklar.,[[0.46964119 0.53035881]]
İyi ya madem ki günün birinde hepimiz çekip gidicez o halde bunca matem bunca kahır niçin?,[[0.46964119 0.53035881]]
Hadi fenerbahçem al şu maçı herşey benim kuponum için,[[0.43435452 0.56564548]]
"RT @furkanvakfi: 21 Eylül 2021 tarihinde kayıp iş adamının ortaya çıkması ve bizzat kendisinin \"kaçırılmam ile Furkan Gönüllülerinin alakas…",[[0.46964119 0.53035881]]
@MeteHan24075831 @superhaber Aynen öyle bunlar turist değil ülkelerinden kaçanlar gelip burda rahat rahat çalışanlar bunlar yüzündenki kira uçtu bunların neresi faydalı anlamadım.,[[0.46964119 0.53035881]]
Boş insanlarla içi dolu hayaller kuramazsınız.,[[0.46964119 0.53035881]]
5 haftadır bağırıyorum Beşiktaş şampiyon diye hala maç izliyoruz,[[0.46964119 0.53035881]]
Gırtlağa kadar dolmuş yürüyemiyor.,[[0.46964119 0.53035881]]
Lütfen lütfen 50 krş ver lütfenn @adileradildir  https://t.co/z7PpzH8B5e,[[0.40711539 0.59288461]]
@Netflxoneri @1cetinjan İzledim 10 üzerinden 8,[[0.31077897 0.68922103]]
RT @furkanhabernet: Tutuklu Yargılanan Furkan Gönüllüsü,[[0.46964119 0.53035881]]
RT @furkanhuzeyfe: Bizzat iskence için eğitilmiş profesyonel işkenceci bir ekip var...   Emniyetİşkence YeriMi,[[0.46964119 0.53035881]]
@Ozgekocahan @NoRespecte Burak buna şapka çıkar uyuyamaz yatamaz buu ahahhahah,[[0.46964119 0.53035881]]
RT @SamiAdgzel13: MedyaEliyle TuzakKuruluyor  https://t.co/8xOI9QJB1s,[[0.40711539 0.59288461]]
RT @rcagras: AdanaEmniyetinde İşkence Adana Emniyeti  https://t.co/UYmX8UZDY2,[[0.40711539 0.59288461]]
ha bu arada bu da son tweetim trabzonlu babana abdestini aldıktan sonra havlu tutmayı unutma dövmesin seni :d kısıtlanmış,[[0.38987615 0.61012385]]
RT @Ved4177: AdanaEmniyetinde İşkence  Allah'a hesap vereceğini düşünmeyen,[[0.46964119 0.53035881]]
@ziyaselcuk Sözün ve ilmin bittiği yer.,[[0.46964119 0.53035881]]
RT @furkanvakfi: TUTUKLU YARGILAMA ZULMÜNÜ KINIYORUZ!  BUGÜN BİR KARDEŞİMİZ DAHA TUTUKLANDI!  Yargısızİnfaza Son,[[0.38987615 0.61012385]]
@furkanariss Doğru diyen kördür brooo😉,[[0.46964119 0.53035881]]
RT @fatmanur_krkcli: Alparslan Kuytul Hocaefendi Furkan Gönüllülerinin Adana Emniyetinde maruz kaldığı onur ve haysiyet kırıcı işkenceye se…,[[0.46964119 0.53035881]]
@gevezesena Devamm o zaman👊😂,[[0.46964119 0.53035881]]
https://t.co/EWQ5Fnqq4t,[[0.40711539 0.59288461]]
Bana beni düşünmemin kötü birşey olduğunu düşündürmeyin,[[0.46964119 0.53035881]]
@eksuzmii  https://t.co/moBy2hvsfF,[[0.40711539 0.59288461]]
RT @Hilal01Defne: Kardeşlerimiz SerbestKalsın  https://t.co/h1NB1Bg4Qm,[[0.40711539 0.59288461]]
@olduozaman000 Eyvallah,[[0.46964119 0.53035881]]
Bazı insanalara sadecee üfffffff(nefes çekerek),[[0.46964119 0.53035881]]
@furkanariss Kumarın hiçbir dalını bilmeyen senn seri üzgün,[[0.46964119 0.53035881]]
Aşı değilde aşık olmak istiyorumm😅,[[0.46964119 0.53035881]]
@Ozgekocahan Bu söz anonim olmasa yazana neler yapardım 😄,[[0.46964119 0.53035881]]
RT @furkanvakfi: 📣 Hala Kayıp Olduğu İddia Edilen Koray Sarısaçlı İle Özel Yayın   🗓 21 Eylül #Salı  ⏱ 21.30  📡 Canlı yayın:  https://t.co/F…,[[0.40402152 0.59597848]]
Aslında herkes gibisin tek farkın benim,[[0.46964119 0.53035881]]
@Eylem38109398 🙏..,[[0.46964119 0.53035881]]
RT @TugayTASCI02: Adana Emniyetinde gözaltında işkenceyle ifadeye zorlanan 3 Furkan Gönüllüsünün avukatlarından açıklama!  “Dosyayı bize gö…,[[0.46964119 0.53035881]]
@goradzece Şu an kendini yalnız bildiğin kadar kalabalıktasın.,[[0.46964119 0.53035881]]
RT @izzetdas: Lanet olsun kurdukları düzene!  KaranlıkGüçler İşBaşında  #TetikçiYandaşMedya FurkanaKumpas Sürüyor,[[0.46964119 0.53035881]]
bu sabah mental olarak bu şekilim malsf  https://t.co/0V6ZhvDN6T,[[0.46410182 0.53589818]]
@csofmyeuphoriax maalesef ki ne hayal ne hedef ne gelecek mutluluğu,[[0.46964119 0.53035881]]
@thanksbabenext @angelifca Sen bir bebeksin,[[0.46964119 0.53035881]]
@dilekzdg kocam için değer yazmış ahajsk,[[0.46964119 0.53035881]]
@eksuzmii genel olarak yemek yapmıyorum canim dışarıdan söylemek daha ucuza geliyo,[[0.46964119 0.53035881]]
@drhuri__ye @ayyuceatas Kızğınlığı nemişki g...lerinin,[[0.46964119 0.53035881]]
@fahrettinaltun Sizin kadar çok kazanamayız.,[[0.46964119 0.53035881]]
@effie15 @hakanakelma Aynen.,[[0.46964119 0.53035881]]
RT @frknnesli12: 1-Daha çiçekleri kurumadan bir teröristi alır gibi evimizi bastınız.Kaçma ihtimali olduğunu iddia ettiğiniz adam,[[0.46964119 0.53035881]]
@eksuzmii ayrıca kız da balıkcı kazağı giymis demek ki istiyo gayet,[[0.46964119 0.53035881]]
RT @yakupsahin27: Hala kayıp olduğu iddia edilen Koray Sarısaçlı'dan açıklama:  “Furkan Gönüllüleri ile hiçbir husumetim yok,[[0.46964119 0.53035881]]
RT @nebevihareket: Adliye önünde polis köşede ya da kalabalığın ilerisinde tek yada bir -iki kişi görürse yada bir kaç kişi yolun karşısına…,[[0.46964119 0.53035881]]
RT @serhatbedlek: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/Flbge3bCWT,[[0.37038487 0.62961513]]
RT @SevgiEkici9: Kardeşlerimiz SerbestKalsın  https://t.co/mA2nWFVT4J,[[0.40711539 0.59288461]]
Kötü niyetli sorulan bir sorusun iyilik arama cevapta.,[[0.46964119 0.53035881]]
"RT @semrakuytul: \"Bu olayda aracım kullanıldı\" diye yalan ifade vermesi için işkence edilmesinden endişeliyiz.. Durumuyla ilgili avukatları…",[[0.46964119 0.53035881]]
@Biyiklicelal Bu son olsun balık mı?  https://t.co/azhauU3xrs,[[0.37038487 0.62961513]]
RT @OncuOsmaniye: GÜNDEM ÇALIŞMAMIZ BAŞLADI ❗️❗️❗️  Etiketimiz:  MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
@kaderwx O,[[0.46964119 0.53035881]]
bahsettiği özelliklere sahip bi kız kendisini sikip soktuğu için kudurmus,[[0.46964119 0.53035881]]
RT @furkanvakfiTT: KIYMETLİ KARDEŞLERİMİZ GÜNDEM ÇALIŞMAMIZ BAŞLADI ‼️  ETİKETİMİZ;  KaranlıkGüçler İşBaşında #TetikçiYandaşMedya,[[0.46964119 0.53035881]]
@pelinuzl Tatlım profilime bak ne yazıyor ndndnddn,[[0.46964119 0.53035881]]
RT @RecepKardes01: Hiçbir delil ortada olmamasına rağmen 3 gün boyunca kardeşlerimizi emniyette tuttuğunuz zulmettiniz İşkence yaptınız. Ye…,[[0.46964119 0.53035881]]
RT @AsuduYusuf: KIYMETLİ KARDEŞLERİMİZ GÜNDEM ÇALIŞMAMIZ BAŞLADI ‼️  📌 Etiketimiz :  Yargısızİnfaza Son,[[0.38987615 0.61012385]]
günlük içtiğim iki litre kahveyi bir buçuk litreye indirdim  https://t.co/aT5CKftkvk,[[0.40711539 0.59288461]]
RT @Huzursesimiz123: Türkiyenin gündeminden düşmeyen iş Adamı bulundu Furkan Gönüllüleri Tertemizdir İftiracıİHA RezilOldu #FurkanaKumpasÇö…,[[0.46964119 0.53035881]]
@atarl_cavidan61 Ahshah mantıklı,[[0.46964119 0.53035881]]
RT @replikvekonser: ''İnsanları kaderleri karşılaştırır,[[0.46964119 0.53035881]]
Dikkat et miii hahahahaah,[[0.46964119 0.53035881]]
@GReisciler @06melihgokcek 1000 kira+elektrik su gaz 500+ 300 kart. 2300-1800. Kalan 500 bu 500 ile akşam üç çocuğuna 2 şer liralık bişeyler alsan 6 TL yapar ayda 150 350 kalır siz geçim olarak hava mı soluyorsunuz.,[[0.46964119 0.53035881]]
@Gingerx16 Ben de o sırada Evaya korunma yollarını anlatıp doğum kontrol hapı uzatıyomuşum,[[0.3229543 0.6770457]]
Dünya kupası falan işte aşkım ne olsun  https://t.co/vl92f1eyyV,[[0.40711539 0.59288461]]
@dilaracann30 🧚‍♀️,[[0.46964119 0.53035881]]
RT @sinoreyiz: 🥳Olimpiu Morutan'ın Galatasaray'a gelmesi şerefine bu tweeti beğenip beni takip eden 2 kişiye Fatih Terim imzalı forma hediy…,[[0.46964119 0.53035881]]
Tuzak Kuranların En Hayırlısı!  Yargısızİnfaza Son  https://t.co/ZJWYXeiIoC,[[0.37038487 0.62961513]]
RT @furkanhuzeyfe: 5 gündür kayıp olan iş adamının eşi Rumeysa Sarısaçlı'dan açıklama: Emniyet yetkilileri eşimi bulsunlar ve masum insanla…,[[0.46964119 0.53035881]]
İnsanların tuhaf olduklarına karar verdim. Zorunlu olmadıkça onlar konusunda kafa patlatmayacağım.,[[0.46964119 0.53035881]]
RT @artcullture: Art by Parnaz  https://t.co/KJPJUSp7dN,[[0.40000821 0.59999179]]
@eksuzmii kocam her gün dışarıdan yemek söylemeyecekse kocam olmasın zaten,[[0.46964119 0.53035881]]
@sakinlesiyorum ahahajakdj daha ne işte??,[[0.46964119 0.53035881]]
DANDİNİ DANDİNİ DASTANA DANALAR MI GİRDİ YİNE BOSTANA,[[0.76269171 0.23730829]]
RT @laraadeniz01: Herkesten uzak olmak bana iyi geliyor…,[[0.46964119 0.53035881]]
RT @furkanhabernet: Erdoğan: Evlatlarımıza hepimizin hayali olan bir ülke bırakacağız…  Alparslan Hoca: Doğru,[[0.46964119 0.53035881]]
RT @Hilal01Defne: Kardeşlerimiz SerbestKalsın  https://t.co/utkdEWU8XK,[[0.40711539 0.59288461]]
@bahamot007 Geçtim 👍,[[0.46964119 0.53035881]]
RT @Huzursesimiz123: Bu dünyada istediğin gibi davranabileceğini düşünüyorsun öyle mi? Toprağın altını unutmuş olduğun gibi,[[0.46964119 0.53035881]]
@Biyiklicelal Fotoğraf üstünden fal bakmaya başlicam artık hayvan dışında her şeyi gördüm ajjs,[[0.46964119 0.53035881]]
@csofmyeuphoriax badem yağını suyla seyreltip sür ask,[[0.48886574 0.51113426]]
RT @TugayTASCI02: Biraz insaf MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
RT @vp_couple: “şarap aldım geliyorum” is a love language,[[0.37160187 0.62839813]]
@asoszen Çok olunca da bitiyor,[[0.46964119 0.53035881]]
@rumsplaining derin meselelerin ustasıyız diye yorumladım,[[0.46964119 0.53035881]]
@sevdamizadana01 @burhanaudu Tablada tantunici bile yapmaz bu saygısızlığı polise,[[0.46964119 0.53035881]]
@Eylem38109398 Delileri ve delilikleri severim😊,[[0.46964119 0.53035881]]
@Gingerx16 @angelifca yeteneğinin mükemmelliği diyebiliriz.. ❤️,[[0.46964119 0.53035881]]
@TransferWeb1 Adamlar bilerek sakatlaniyor bir Liverpool faciasına ortak olmamak için hahahah,[[0.46964119 0.53035881]]
RT @semrakuytul: İşadamı kaçırıldı diye haber yapan site ve kanalların işadamının bulunduğunu duyurmaması oldukça garip! Yalan yanlış iftir…,[[0.46964119 0.53035881]]
Unutulan değil,[[0.46964119 0.53035881]]
İlla kalp mi kıralım oçları,[[0.46964119 0.53035881]]
iliskiniz bitince kahrından falcı falcı gezen erkeği nasıl buluyosunuz benimkiler genelde bitti demeden her yerden tweet,[[0.46964119 0.53035881]]
@no5inGminor @angelifca SADECE SEV!,[[0.46964119 0.53035881]]
@goktekivosvoslu Ben de seni çok seviyorumm 😘😇❤️,[[0.3229543 0.6770457]]
@birkezbenisev Yıprandığını bir tek senin bilmen yıkılış.,[[0.46964119 0.53035881]]
@Ozgekocahan Git..Git.. Git...me dur ne olursun,[[0.46964119 0.53035881]]
@sefo362 gül lokumu,[[0.46964119 0.53035881]]
RT @a_ylnkz01: Kardeşlerimiz SerbestBırakılsın  #AdaletYeriniBulsun diye geldiğimiz adliye önünde,[[0.46964119 0.53035881]]
@Fatihhan3 @mizahci_kiz Olur hemen  bi koşu alıp geliyorum 😂😂,[[0.46964119 0.53035881]]
RT @mansouri1701: YALAN MEDYA ve KaranlıkGüçler İşBaşında,[[0.46964119 0.53035881]]
RT @furkanvakfiTT: Adana Adliyesi önünde bekleyen arkadaşlarımıza polisler darp ve biber gazıyla karşılık verdi  Tertemiz Furkan Gönüllüler…,[[0.46964119 0.53035881]]
